#Overview of data in ClinVar by gene, dated September 29, 2015
#Symbol	GeneID	Total_submissions	Total_alleles	Submissions_reporting_this_gene	Alleles_reported_Pathogenic_Likely_pathogenic	Gene_MIM_number
ACMSD	130013	2	2	-	-	608889
ACO1	48	33	33	-	-	100880
ACO2	50	24	22	10	6	100850
ACOT1	641371	5	5	-	-	614313
ACOT11	26027	6	6	-	-	606803
ACOT12	134526	1	1	-	-	614315
ACOT13	55856	6	6	-	-	615652
ACOT2	10965	5	5	-	-	609972
ACOT4	122970	5	5	-	-	614314
ACOT6	641372	5	5	-	-	614267
ACOT7	11332	29	29	-	-	602587
ACOT8	10005	3	3	-	-	608123
ACOT9	23597	79	79	-	-	300862
ACOX1	51	11	11	7	9	609751
ACOX2	8309	6	6	-	-	601641
ACOX3	8310	31	31	-	-	603402
ACOXL	55289	17	17	-	1	-
ACP1	52	35	35	1	-	171500
ACP2	53	6	6	-	-	171650
ACP5	54	16	16	9	7	171640
ACP6	51205	147	147	-	-	611471
ACPP	55	7	7	-	-	171790
ACPT	93650	5	5	-	-	606362
ACR	49	62	62	-	40	102480
ACRBP	84519	14	14	-	-	608352
ACRC	93953	63	63	-	-	300369
ACRV1	56	30	30	-	-	102525
ACSBG1	23205	8	8	-	-	614362
ACSBG2	81616	6	6	-	-	614363
ACSF2	80221	5	5	-	-	610465
ACSF3	197322	63	61	35	15	614245
ACSL1	2180	60	60	-	-	152425
ACSL3	2181	14	14	-	-	602371
ACSL4	2182	88	88	7	4	300157
ACSL5	51703	11	11	-	-	605677
ACSL6	23305	6	6	-	-	604443
ACSM1	116285	4	4	-	-	614357
ACSM2A	123876	4	4	-	-	614358
ACSM2B	348158	4	4	-	-	614359
ACSM3	6296	3	3	-	-	145505
ACSM4	341392	14	14	-	-	614360
ACSM5	54988	5	5	-	-	614361
ACSM6	142827	9	9	-	-	-
ACSS1	84532	7	7	-	-	614355
ACSS2	55902	7	7	-	-	605832
ACSS3	79611	6	6	-	-	614356
ACTA1	58	53	54	34	26	102610
ACTA2	59	49	38	45	22	102620
ACTA2-AS1	100132116	20	16	-	9	-
ACTB	60	54	50	28	21	102630
ACTBL2	345651	5	5	-	-	614835
ACTC1	70	107	92	100	24	102540
ACTG1	71	68	59	58	15	102560
ACTG2	72	14	14	10	12	102545
ACTL10	170487	4	4	-	-	-
ACTL6A	86	15	15	-	-	604958
ACTL6B	51412	8	8	-	-	612458
ACTL7A	10881	19	19	-	-	604303
ACTL7B	10880	19	19	-	-	604304
ACTL8	81569	10	10	-	-	-
ACTL9	284382	2	2	-	-	-
ACTN1	87	9	9	6	6	102575
ACTN1-AS1	161159	3	3	-	-	-
ACTN2	88	216	175	194	13	102573
ACTN3	89	5	3	3	-	102574
ACTN4	81	5	5	3	3	604638
ACTR10	55860	5	5	-	-	-
ACTR1A	10121	5	5	-	-	605143
ACTR1B	10120	6	6	-	-	605144
ACTR2	10097	5	5	-	-	604221
ACTR3B	57180	45	45	-	2	-
ACTR3C	653857	36	36	-	4	-
ACTR5	79913	5	5	-	-	-
ACTR6	64431	5	5	-	-	-
