#Overview of data in ClinVar by gene, dated September 29, 2015
#Symbol	GeneID	Total_submissions	Total_alleles	Submissions_reporting_this_gene	Alleles_reported_Pathogenic_Likely_pathogenic	Gene_MIM_number
C5orf49	134121	51	51	-	-	-
C5orf51	285636	9	9	-	-	-
C5orf52	100190949	5	5	-	-	-
C5orf56	441108	7	7	-	-	-
C5orf58	133874	9	9	-	-	-
C5orf60	285679	12	12	-	-	-
C5orf63	401207	8	8	-	-	-
C5orf64	285668	6	6	-	1	-
C5orf66	100996485	8	8	-	1	-
C5orf66-AS1	101927953	7	7	-	-	-
C5orf66-AS2	340073	7	7	-	-	-
C5orf67	101928448	5	5	-	-	-
C6	729	13	13	6	6	217050
C6orf1	221491	1	1	-	-	611419
C6orf10	10665	1	1	-	-	-
C6orf106	64771	1	1	-	-	612217
C6orf118	168090	24	24	-	-	-
C6orf120	387263	37	37	-	-	-
C6orf132	647024	4	4	-	1	-
C6orf136	221545	3	3	-	-	-
C6orf141	135398	2	2	-	-	-
C6orf15	29113	1	1	-	-	611401
C6orf163	206412	8	8	-	1	-
C6orf165	154313	7	7	-	-	-
C6orf183	389422	9	9	-	-	-
C6orf201	404220	31	31	-	-	-
C6orf203	51250	7	7	-	-	-
C6orf222	389384	2	2	-	-	-
C6orf223	221416	6	6	-	-	-
C6orf226	441150	5	5	-	-	-
C6orf229	101928603	6	6	-	-	-
C6orf25	80739	1	1	-	-	606520
C6orf47	57827	1	1	-	-	-
C6orf48	50854	1	1	-	-	605447
C6orf52	347744	16	16	-	-	-
C6orf58	352999	6	6	-	-	-
C6orf62	81688	6	6	-	-	-
C6orf7	89758	5	5	-	-	-
C6orf89	221477	3	3	-	-	-
C6orf99	100130967	13	13	-	-	-
C7	730	18	17	11	10	217070
C7orf13	129790	45	45	-	-	610242
C7orf25	79020	11	11	-	-	-
C7orf26	79034	17	17	-	-	-
C7orf31	136895	14	14	-	-	616071
C7orf33	202865	34	34	-	-	-
C7orf34	135927	25	25	-	-	-
C7orf43	55262	9	9	-	-	-
C7orf49	78996	14	14	-	-	-
C7orf50	84310	27	27	-	-	-
C7orf55	154791	19	19	-	-	-
C7orf55-LUC7L2	100996928	20	20	-	1	-
C7orf57	136288	9	9	-	-	-
C7orf60	154743	6	6	-	-	-
C7orf61	402573	8	8	-	-	-
C7orf62	219557	21	21	-	-	-
C7orf65	401335	7	7	-	-	-
C7orf66	154907	7	7	-	-	-
C7orf69	80099	7	7	-	-	-
C7orf71	285941	12	12	-	-	-
C7orf72	100130988	7	7	-	-	-
C7orf73	647087	15	15	-	-	-
C7orf76	401388	4	4	-	-	-
C7orf77	154872	11	11	-	-	-
C8A	731	9	9	3	2	120950
C8B	732	13	13	7	7	120960
C8G	733	32	32	-	-	120930
C8orf17	100507249	28	28	-	-	-
C8orf22	492307	13	13	-	-	-
C8orf31	286122	28	28	-	-	-
C8orf33	65265	29	29	-	12	-
C8orf34	116328	17	17	-	1	-
C8orf34-AS1	286189	15	15	-	-	-
C8orf37	157657	24	24	4	4	614477
C8orf37-AS1	100616530	21	21	-	5	-
C8orf4	56892	35	35	-	-	607702
C8orf44	56260	15	15	-	-	-
C8orf44-SGK3	100533105	16	16	-	-	-
C8orf46	254778	15	15	-	-	-
C8orf48	157773	53	53	-	-	-
C8orf49	606553	58	58	-	-	-
C8orf58	541565	44	44	-	-	-
C8orf59	401466	17	17	-	-	-
C8orf74	203076	63	63	-	-	-
C8orf76	84933	23	23	-	-	-
C8orf82	414919	34	34	-	-	-
C8orf86	389649	34	34	-	-	-
C8orf87	389676	22	22	-	-	-
C8orf88	100127983	20	20	-	-	-
C8orf89	100130301	14	14	-	-	-
C9	735	15	15	7	6	120940
C9orf106	414318	24	24	-	-	-
C9orf114	51490	21	21	-	-	-
C9orf116	138162	27	27	-	-	614502
C9orf117	286207	18	18	-	-	-
C9orf129	445577	16	16	-	-	-
C9orf131	138724	33	33	-	-	-
C9orf135	138255	21	21	-	-	-
C9orf135-AS1	494558	21	21	-	-	-
C9orf139	401563	33	33	-	-	-
C9orf142	286257	32	32	-	-	616315
C9orf147	100133204	17	17	-	-	-
C9orf152	401546	19	19	-	-	-
C9orf153	389766	16	16	-	-	-
C9orf156	51531	18	18	-	-	-
C9orf16	79095	19	19	-	-	-
C9orf163	158055	34	34	-	-	-
C9orf170	401535	15	15	-	-	-
C9orf171	389799	20	20	-	-	-
C9orf172	389813	30	30	-	-	-
C9orf173	441476	36	36	-	-	-
C9orf173-AS1	100129722	36	36	-	-	-
C9orf24	84688	35	35	-	-	-
C9orf3	84909	90	84	-	10	-
C9orf40	55071	21	21	-	-	-
C9orf41-AS1	101927380	21	21	-	-	-
C9orf43	257169	17	17	-	-	-
C9orf47	286223	17	17	-	-	-
C9orf50	375759	23	23	-	-	-
C9orf57	138240	19	19	-	-	-
C9orf62	157927	30	30	-	-	-
C9orf64	84267	14	14	-	-	611342
C9orf66	157983	123	123	-	1	-
C9orf69	90120	29	29	-	-	-
C9orf72	203228	38	38	1	1	614260
C9orf78	51759	22	22	-	-	-
C9orf84	158401	17	17	-	-	-
C9orf85	138241	20	20	-	-	-
C9orf89	84270	16	16	-	-	-
C9orf9	11092	20	20	-	-	-
C9orf91	203197	19	19	-	-	-
C9orf92	100129385	49	49	-	-	-
CA1	759	19	19	2	2	114800
CA10	56934	6	6	-	1	604642
CA11	770	4	4	-	-	604644
CA12	771	2	2	1	1	603263
CA13	377677	17	17	-	-	611436
CA14	23632	3	3	-	-	604832
CA2	760	27	27	10	8	611492
CA3	761	17	17	-	-	114750
CA3-AS1	100996348	17	17	-	-	-
CA4	762	11	10	5	3	114760
CA5A	763	26	26	3	3	114761
CA5B	11238	88	88	-	-	300230
CA6	765	21	21	-	-	114780
CA7	766	14	14	-	-	114770
CA8	767	21	21	6	2	114815
CA9	768	33	33	-	-	603179
CAAP1	79886	37	37	-	-	-
CAB39	51719	13	13	-	-	612174
CAB39L	81617	33	33	-	-	612175
CABIN1	23523	45	45	-	-	604251
CABLES1	91768	20	20	-	-	609194
CABLES2	81928	7	7	-	-	-
CABP1	9478	7	7	-	-	605563
CABP2	51475	7	7	1	1	607314
CABP4	57010	15	15	9	4	608965
CABP5	56344	4	4	-	-	607315
CABP7	164633	10	10	-	-	-
CABS1	85438	12	12	-	-	-
CABYR	26256	19	19	-	-	612135
CACFD1	11094	22	22	-	-	613104
CACHD1	57685	10	10	-	-	-
CACNA1A	773	131	118	98	44	601011
CACNA1B	774	47	47	1	22	601012
CACNA1C	775	292	267	253	17	114205
CACNA1C-AS1	100652846	106	97	-	2	-
CACNA1C-AS2	100874235	32	32	-	-	-
CACNA1C-AS4	100874234	27	27	-	-	-
CACNA1C-IT2	100874369	26	26	-	-	-
CACNA1C-IT3	100874370	27	27	-	-	-
CACNA1D	776	10	8	5	4	114206
CACNA1E	777	6	6	-	-	601013
CACNA1F	778	109	108	23	12	300110
CACNA1G	8913	7	7	2	2	604065
CACNA1G-AS1	253962	5	5	-	-	-
CACNA1H	8912	46	46	29	3	607904
CACNA1I	8911	6	6	-	-	608230
CACNA1S	779	24	22	20	10	114208
CACNA2D1	781	9	9	2	1	114204
CACNA2D2	9254	4	4	2	-	607082
CACNA2D3	55799	8	8	-	1	606399
CACNA2D3-AS1	100874237	4	4	-	-	-
CACNA2D4	93589	44	44	16	1	608171
CACNB1	782	4	4	-	-	114207
CACNB2	783	77	64	69	4	600003
CACNB3	784	1	1	-	-	601958
CACNB4	785	48	45	41	1	601949
CACNG1	786	4	4	-	-	114209
CACNG2	10369	10	10	1	1	602911
CACNG3	10368	9	9	-	-	606403
CACNG4	27092	4	4	-	-	606404
CACNG5	27091	4	4	-	-	606405
CACNG6	59285	9	9	-	-	606898
CACNG7	59284	9	9	-	-	606899
CACNG8	59283	9	9	-	-	606900
CACTIN	58509	12	12	-	-	-
CACTIN-AS1	404665	12	12	-	-	-
CACUL1	143384	10	10	-	1	-
CACYBP	27101	10	10	-	-	606186
CAD	790	10	10	2	2	114010
CADM1	23705	6	6	-	-	605686
CADM2	253559	14	14	-	1	609938
CADM2-AS1	100874038	10	10	-	-	-
CADM2-AS2	100874037	10	10	-	-	-
CADM3	57863	4	4	-	-	609743
CADM3-AS1	100131825	3	3	-	-	-
CADM4	199731	2	2	-	-	609744
CADPS	8618	5	5	-	-	604667
CADPS2	93664	17	17	-	-	609978
CAGE1	285782	17	17	-	-	608304
CAHM	100526820	24	24	-	-	615930
CALB1	793	18	18	-	-	114050
CALB2	794	15	15	-	-	114051
CALCA	796	8	8	1	-	114130
CALCB	797	7	7	-	-	114160
CALCOCO1	57658	4	4	-	1	-
CALCOCO2	10241	7	7	-	-	604587
CALCR	799	8	8	1	-	114131
CALCRL	10203	12	12	-	1	114190
CALD1	800	14	14	-	1	114213
CALHM1	255022	6	6	-	-	612234
CALHM2	51063	6	6	-	-	612235
CALHM3	119395	6	6	-	-	-
CALM1	801	17	15	9	5	114180
CALM2	805	18	13	11	6	114182
CALM3	808	5	5	-	-	114183
CALML3	810	22	22	-	-	114184
CALML3-AS1	100132159	22	22	-	-	-
CALML4	91860	3	3	-	-	-
CALML5	51806	22	22	-	-	605183
CALML6	163688	77	77	-	-	610171
CALN1	83698	29	29	-	3	607176
CALR	811	13	12	2	1	109091
CALR3	125972	15	13	9	-	611414
CALU	813	11	11	-	1	603420
CALY	50632	47	47	-	-	604647
CAMK1	8536	26	26	-	-	604998
CAMK1D	57118	15	15	-	1	607957
CAMK1G	57172	6	6	-	-	614994
CAMK2A	815	4	4	-	-	114078
CAMK2B	816	11	11	-	-	607707
CAMK2D	817	3	3	-	-	607708
CAMK2G	818	7	7	1	-	602123
CAMK2N1	55450	7	7	-	1	614986
CAMK2N2	94032	22	22	-	-	608721
CAMK4	814	17	17	-	2	114080
CAMKK1	84254	16	16	-	-	611411
CAMKK2	10645	10	10	-	-	615002
CAMKMT	79823	9	9	-	-	609559
CAMKV	79012	2	2	-	-	614993
CAMLG	819	7	7	-	-	601118
CAMP	820	2	2	-	-	600474
CAMSAP1	157922	28	28	-	-	613774
CAMSAP2	23271	2	2	-	-	613775
CAMSAP3	57662	5	5	-	-	612685
CAMTA1	23261	42	42	6	12	611501
CAMTA1-IT1	100874340	28	28	-	-	-
CAMTA2	23125	12	12	-	-	611508
CAND1	55832	5	5	-	-	607727
CAND1.11	100130460	5	5	-	-	-
CAND2	23066	12	12	-	-	610403
CANT1	124583	28	28	20	17	613165
CANX	821	14	14	-	-	114217
CAP1	10487	5	5	-	-	-
CAP2	10486	7	7	-	1	-
CAPG	822	4	4	-	-	153615
CAPN10	11132	61	60	5	-	605286
CAPN10-AS1	101752400	55	55	-	-	-
CAPN11	11131	5	5	-	-	604822
CAPN12	147968	2	2	-	-	608839
CAPN13	92291	6	6	-	-	610228
CAPN14	440854	5	5	-	-	610229
CAPN15	6650	22	22	-	-	603267
CAPN2	824	13	13	-	-	114230
CAPN3	825	79	70	77	28	114240
CAPN5	726	6	6	2	2	602537
CAPN6	827	81	81	-	-	300146
CAPN7	23473	9	9	-	-	606400
CAPN8	388743	12	12	-	-	-
CAPN9	10753	21	21	-	1	606401
CAPNS1	826	3	3	-	-	114170
CAPNS2	84290	4	4	-	1	-
CAPRIN1	4076	3	3	-	-	601178
CAPRIN2	65981	9	9	-	-	610375
CAPS	828	6	6	-	-	114212
CAPS2	84698	8	8	-	-	607724
CAPSL	133690	8	8	-	-	-
CAPZA1	829	4	4	-	-	601580
CAPZA2	830	10	10	-	-	601571
CAPZA3	93661	12	12	-	-	608722
CAPZB	832	9	9	-	-	601572
CARD10	29775	11	11	-	-	607209
CARD11	84433	46	46	6	6	607210
CARD14	79092	30	26	12	8	607211
CARD16	114769	8	8	-	-	615680
CARD17	440068	8	8	-	-	609490
CARD18	59082	8	8	-	-	605354
CARD6	84674	7	7	-	-	609986
CARD8	22900	4	4	-	-	609051
CARD8-AS1	100505812	4	4	-	1	-
CARD9	64170	38	38	5	5	607212
CARF	79800	14	14	-	-	607586
CARHSP1	23589	16	16	-	-	-
CARKD	55739	52	52	-	-	615910
CARM1	10498	6	6	-	2	603934
CARNMT1	138199	21	21	-	-	616552
CARNS1	57571	5	5	-	-	613368
CARS	833	11	11	-	-	123859
CARS2	79587	54	55	2	1	612800
CARTPT	9607	3	3	1	-	602606
CASC1	55259	15	15	-	-	-
CASC10	399726	8	8	-	-	-
CASC11	100270680	26	26	-	-	-
CASC15	401237	4	4	-	1	-
CASC16	643714	7	7	-	-	-
CASC17	101928165	8	8	-	-	-
CASC18	101929110	6	6	-	-	-
CASC2	255082	10	10	-	-	608598
CASC20	101929244	14	14	-	-	-
CASC22	283854	11	11	-	-	-
CASC23	103581031	4	4	-	-	-
CASC3	22794	4	4	-	-	606504
CASC4	113201	1	1	-	-	-
CASC5	57082	37	37	35	2	609173
CASC6	101929083	12	12	-	-	-
CASC8	727677	27	27	-	-	-
CASC9	101805492	17	17	-	-	-
CASD1	64921	15	15	-	7	611686
CASK	8573	140	135	53	28	300172
CASKIN1	57524	8	8	-	-	612184
CASKIN2	57513	3	3	-	-	612185
CASP1	834	8	8	-	-	147678
CASP10	843	24	23	8	6	601762
CASP12	100506742	9	9	1	-	608633
CASP14	23581	6	6	-	-	605848
CASP16	197350	11	11	-	-	-
CASP2	835	25	25	-	-	600639
CASP3	836	60	60	-	-	600636
CASP4	837	7	7	-	-	602664
CASP5	838	8	8	-	1	602665
CASP6	839	3	3	-	-	601532
CASP7	840	12	12	-	-	601761
CASP8	841	20	20	4	2	601763
CASP8AP2	9994	7	7	-	-	606880
CASP9	842	19	19	-	-	602234
CASQ1	844	6	6	1	1	114250
CASQ2	845	87	74	83	15	114251
CASR	846	126	117	100	74	601199
CASS4	57091	6	6	-	-	-
CAST	831	15	15	3	3	114090
CASZ1	54897	29	29	-	1	609895
CAT	847	10	10	3	4	115500
CATIP	375307	9	9	-	-	-
CATIP-AS1	101928513	9	9	-	-	-
CATIP-AS2	103689911	10	10	-	-	-
CATSPER1	117144	3	3	2	2	606389
CATSPER2	117155	18	17	1	1	607249
CATSPER3	347732	7	7	-	-	609120
CATSPER4	378807	1	1	-	-	609121
CATSPERB	79820	9	9	-	-	611169
CATSPERD	257062	5	5	-	-	-
CATSPERG	57828	2	2	-	-	613452
CAV1	857	17	17	6	7	601047
CAV2	858	11	11	-	-	601048
CAV3	859	185	131	113	22	601253
CBARP	255057	15	15	-	-	-
CBFA2T2	9139	4	4	-	-	603672
CBFA2T3	863	26	26	-	-	603870
CBFB	865	16	16	-	-	121360
CBL	867	138	116	115	23	165360
CBL	867	138	116	115	23	600651
CBLB	868	24	24	-	-	604491
CBLL1	79872	7	7	-	-	606872
CBLN1	869	8	8	-	-	600432
CBLN2	147381	65	65	-	1	600433
CBLN3	643866	11	11	-	-	612978
CBLN4	140689	5	5	-	-	615029
CBR1	873	37	37	-	-	114830
CBR3	874	38	38	-	-	603608
CBR3-AS1	100506428	37	37	-	-	-
CBR4	84869	48	47	-	1	-
CBS	875	127	106	72	32	613381
CBWD1	55871	7	7	-	-	611078
CBWD3	445571	19	19	-	2	611080
CBWD5	220869	22	22	-	-	-
CBWD6	644019	21	21	-	-	-
CBWD7	728013	20	20	-	-	-
CBX1	10951	5	5	-	-	604511
CBX2	84733	9	9	2	2	602770
CBX3	11335	12	12	-	-	604477
CBX4	8535	7	7	-	-	603079
CBX5	23468	2	2	-	-	604478
CBX6	23466	11	11	-	-	-
CBX7	23492	8	8	-	-	608457
CBX8	57332	7	7	-	-	-
CBY1	25776	10	10	-	-	607757
CBY3	646019	14	14	-	-	-
CC2D1A	54862	23	23	15	1	610055
CC2D1B	200014	1	1	-	-	-
CC2D2A	57545	109	105	70	36	612013
CC2D2B	387707	5	5	-	-	-
CCAR1	55749	7	7	-	-	612569
CCAR2	57805	44	44	-	-	607359
CCAT1	100507056	26	26	-	-	-
CCAT2	101805488	26	26	-	-	-
CCBE1	147372	40	40	6	7	612753
CCBL1	883	22	22	-	-	600547
CCBL2	56267	2	2	-	-	610656
CCDC102A	92922	4	4	-	-	-
CCDC102B	79839	65	63	-	3	-
CCDC103	388389	7	7	3	2	614677
CCDC105	126402	6	6	-	-	-
CCDC106	29903	13	13	-	-	613478
CCDC107	203260	35	34	-	-	-
CCDC108	255101	10	10	-	-	614270
CCDC109B	55013	4	4	-	-	-
CCDC110	256309	63	63	-	-	609488
CCDC112	153733	12	12	-	-	-
CCDC113	29070	5	5	-	-	616070
CCDC114	93233	8	8	5	5	615038
CCDC115	84317	8	8	-	-	613734
CCDC116	164592	46	46	-	-	-
CCDC117	150275	12	12	-	-	-
CCDC12	151903	2	2	-	1	-
CCDC120	90060	85	85	1	-	300947
CCDC121	79635	7	7	-	-	-
CCDC122	160857	29	29	-	-	613408
CCDC124	115098	5	5	-	-	-
CCDC125	202243	4	4	-	-	613781
CCDC126	90693	16	16	-	-	-
CCDC127	133957	71	71	-	-	-
CCDC129	223075	9	9	-	-	-
CCDC130	81576	9	9	-	-	-
CCDC134	79879	8	8	-	-	-
CCDC136	64753	11	11	-	-	611902
CCDC137	339230	9	9	-	-	614271
CCDC138	165055	14	14	-	-	-
CCDC14	64770	10	10	-	1	-
CCDC140	151278	13	13	-	-	-
CCDC141	285025	11	11	-	1	616031
CCDC142	84865	5	5	-	-	-
CCDC144A	9720	40	40	-	17	-
CCDC144NL	339184	7	7	-	-	-
CCDC144NL-AS1	440416	7	7	-	-	-
CCDC146	57639	10	10	-	-	-
CCDC148	130940	9	9	-	3	-
CCDC148-AS1	554201	8	8	-	1	-
CCDC149	91050	9	9	-	-	-
CCDC15	80071	30	30	-	-	-
CCDC150	284992	14	14	-	-	-
CCDC151	115948	8	8	2	2	615956
CCDC152	100129792	10	10	-	-	-
CCDC153	283152	11	11	-	-	-
CCDC154	645811	17	17	-	-	-
CCDC155	147872	2	2	-	-	-
CCDC157	550631	9	9	-	-	-
CCDC158	339965	9	9	-	-	-
CCDC159	126075	6	6	-	-	-
CCDC160	347475	87	87	-	-	-
CCDC166	100130274	29	29	-	-	-
CCDC167	154467	1	1	-	-	-
CCDC168	643677	41	42	1	-	-
CCDC169	728591	26	26	-	-	-
CCDC169-SOHLH2	100526761	26	26	-	-	-
CCDC17	149483	7	7	-	-	-
CCDC170	80129	13	13	7	2	-
CCDC171	203238	49	49	-	-	-
CCDC172	374355	10	10	-	-	-
CCDC173	129881	7	7	-	-	-
CCDC174	51244	10	10	-	-	-
CCDC175	729665	5	5	-	-	-
CCDC176	80127	9	9	-	2	-
CCDC177	56936	3	3	-	-	-
CCDC178	374864	23	23	-	1	-
CCDC179	100500938	7	7	-	-	-
CCDC18	343099	3	3	-	-	-
CCDC180	100499483	18	18	-	-	-
CCDC181	57821	9	9	-	-	-
CCDC182	101927581	6	6	-	-	-
CCDC183-AS1	100131193	30	30	-	-	-
CCDC184	387856	1	1	-	-	-
CCDC185	164127	12	12	-	-	-
CCDC186	55088	11	11	-	-	-
CCDC187	399693	29	29	-	-	-
CCDC188	388849	166	166	-	-	-
CCDC22	28952	96	96	13	-	300859
CCDC24	149473	5	5	-	-	-
CCDC25	55246	42	42	-	-	-
CCDC26	137196	26	26	-	-	613040
CCDC27	148870	53	53	-	-	-
CCDC28A	25901	3	3	-	-	615353
CCDC28B	79140	7	7	2	-	610162
CCDC3	83643	15	15	-	-	-
CCDC30	728621	6	6	-	1	-
CCDC33	80125	10	10	-	-	-
CCDC34	91057	6	6	-	-	612324
CCDC36	339834	2	2	-	-	-
CCDC37	348807	7	7	-	-	-
CCDC37-AS1	100506907	7	7	-	-	-
CCDC38	120935	2	2	-	-	-
CCDC39	339829	35	34	19	8	613798
CCDC40	55036	41	41	33	8	613799
CCDC42	146849	5	5	-	-	-
CCDC42B	387885	2	2	-	-	-
CCDC43	124808	6	6	-	-	-
CCDC47	57003	5	5	-	-	-
CCDC50	152137	51	51	25	1	611051
CCDC51	79714	1	1	-	-	-
CCDC53	51019	3	3	-	-	-
CCDC54	84692	9	9	-	-	-
CCDC57	284001	12	12	-	-	-
CCDC58	131076	10	10	-	-	-
CCDC59	29080	5	5	-	-	-
CCDC6	8030	6	6	-	-	601985
CCDC60	160777	7	7	-	1	-
CCDC61	729440	3	3	-	-	-
CCDC62	84660	9	9	-	-	613481
CCDC63	160762	2	2	-	-	-
CCDC64	92558	6	6	-	-	-
CCDC64B	146439	10	10	-	-	-
CCDC65	85478	2	2	1	1	611088
CCDC66	285331	2	2	-	-	-
CCDC67	159989	5	5	-	-	-
CCDC68	80323	34	34	-	-	-
CCDC69	26112	4	4	-	-	-
CCDC7	79741	3	3	-	1	-
CCDC70	83446	30	30	-	-	-
CCDC71	64925	2	2	-	-	-
CCDC71L	168455	7	7	-	-	-
CCDC73	493860	3	3	-	-	612328
CCDC74A	90557	11	11	-	-	-
CCDC74B	91409	7	7	-	-	-
CCDC77	84318	25	25	-	1	-
CCDC78	124093	25	25	7	1	614666
CCDC79	283847	14	14	-	-	-
CCDC8	83987	5	5	2	2	614145
CCDC80	151887	14	14	-	1	608298
CCDC81	60494	7	7	-	-	-
CCDC82	79780	4	4	-	-	-
CCDC83	220047	8	8	-	-	-
CCDC84	338657	12	12	-	-	-
CCDC85A	114800	5	5	-	-	-
CCDC85B	11007	2	2	-	-	605360
CCDC85C	317762	16	16	-	1	-
CCDC87	55231	2	2	-	-	-
CCDC88A	55704	4	4	-	-	609736
CCDC88C	440193	45	45	36	5	611204
CCDC89	220388	8	8	-	-	-
CCDC9	26093	4	4	-	-	-
CCDC90B	60492	4	4	-	-	-
CCDC91	55297	10	10	-	1	-
CCDC92	80212	13	13	-	-	-
CCDC93	54520	1	1	-	-	-
CCDC94	55702	12	12	-	-	-
CCDC96	257236	35	35	-	-	-
CCDC97	90324	2	2	-	-	-
CCER1	196477	4	4	-	-	-
CCER2	643669	2	2	-	-	-
CCHCR1	54535	1	1	-	-	605310
CCIN	881	33	33	-	-	603960
CCK	885	2	2	-	-	118440
CCKAR	886	11	11	2	-	118444
CCKBR	887	6	6	-	1	118445
CCL1	6346	4	4	-	-	182281
CCL11	6356	8	8	2	-	601156
CCL13	6357	4	4	-	-	601391
CCL15-CCL14	348249	1	1	-	1	-
CCL17	6361	4	4	-	-	601520
CCL19	6363	33	33	-	-	602227
CCL2	6347	12	9	6	1	158105
CCL20	6364	12	12	-	-	601960
CCL21	6366	33	33	-	-	602737
CCL22	6367	4	4	-	-	602957
CCL23	6368	1	1	-	-	602494
CCL24	6369	17	17	-	-	602495
CCL25	6370	3	3	-	-	602565
CCL26	10344	17	17	-	-	604697
CCL27	10850	33	33	-	-	604833
CCL28	56477	7	7	-	-	605240
CCL3L1	6349	16	16	-	-	601395
CCL3L3	414062	11	11	-	-	609468
CCL3P1	390788	21	21	-	-	609467
CCL4	6351	3	3	-	-	182284
CCL4L1	388372	16	16	-	-	603782
CCL4L2	9560	12	12	-	-	610757
CCL5	6352	2	2	2	2	187011
CCL7	6354	6	6	-	-	158106
CCL8	6355	4	4	-	-	602283
CCM2	83605	23	23	11	11	607929
CCM2L	140706	6	6	-	1	-
CCNA1	8900	26	26	-	-	604036
CCNA2	890	8	8	-	-	123835
CCNB1	891	4	4	-	-	123836
CCNB1IP1	57820	12	12	-	-	608249
CCNB2	9133	3	3	-	-	602755
CCNB3	85417	82	82	-	2	300456
CCNC	892	6	6	-	-	123838
CCND1	595	4	2	3	-	168461
CCND2	894	25	25	6	6	123833
CCND2-AS1	103752584	19	19	-	-	-
CCND3	896	3	3	-	-	123834
CCNDBP1	23582	2	2	-	-	607089
CCNE1	898	6	6	-	-	123837
CCNE2	9134	21	21	-	-	603775
CCNF	899	12	12	-	-	600227
CCNG1	900	8	8	-	-	601578
CCNG2	901	9	9	-	-	603203
CCNH	902	11	11	-	-	601953
CCNI	10983	9	9	-	-	-
CCNI2	645121	6	6	-	-	-
CCNJ	54619	4	4	-	-	-
CCNJL	79616	8	8	-	-	-
CCNK	8812	16	16	-	-	603544
CCNL1	57018	7	7	-	-	613384
CCNL2	81669	78	78	-	-	613482
CCNO	10309	14	14	6	7	607752
CCNT1	904	1	1	-	-	143055
CCNT2	905	3	3	-	-	603862
CCNT2-AS1	100129961	2	2	-	-	-
CCNY	219771	3	3	-	-	612786
CCNYL1	151195	14	14	-	-	-
CCNYL3	642326	7	7	-	-	-
CCP110	9738	2	2	-	-	609544
CCPG1	9236	4	4	-	-	611326
CCR1	1230	2	2	-	-	601159
CCR10	2826	4	4	-	-	600240
CCR2	729230	2	2	1	-	601267
CCR3	1232	2	2	-	-	601268
CCR4	1233	4	4	-	-	604836
CCR5	1234	14	9	13	1	601373
CCR6	1235	24	24	-	-	601835
CCR7	1236	4	4	-	-	600242
CCR8	1237	2	2	-	-	601834
CCR9	10803	2	2	-	-	604738
CCRL2	9034	1	1	-	-	608379
CCS	9973	3	3	1	-	603864
CCSAP	126731	16	16	-	-	-
CCSER1	401145	21	21	-	3	-
CCSER2	54462	17	17	-	1	-
CCT2	10576	3	3	-	-	605139
CCT3	7203	4	4	-	-	600114
CCT4	10575	9	9	-	-	605142
CCT5	22948	49	49	1	1	610150
CCT6A	908	11	11	-	-	104613
CCT7	10574	4	4	1	1	605140
CCT8	10694	36	36	-	-	-
CCT8L2	150160	9	9	-	-	-
CCZ1	51622	23	23	-	-	-
CCZ1B	221960	13	13	-	-	-
CD101	9398	6	6	-	-	604516
CD109	135228	2	2	-	-	608859
CD14	929	6	6	-	-	158120
CD151	977	11	11	1	1	602243
CD160	11126	134	133	-	-	604463
CD163	9332	13	13	-	-	605545
CD163L1	283316	14	14	-	-	606079
CD164	8763	9	9	-	-	603356
CD164L2	388611	4	4	-	-	-
CD177	57126	4	4	-	-	162860
CD180	4064	5	5	-	-	602226
CD19	930	57	57	2	2	107265
CD1A	909	3	3	-	-	188370
CD1B	910	3	3	-	-	188360
CD1C	911	3	3	-	-	188340
CD1D	912	3	3	-	-	188410
CD1E	913	3	3	-	-	188411
CD2	914	6	6	-	-	186990
CD200	4345	8	8	-	-	155970
CD200R1	131450	14	14	-	-	607546
CD200R1L	344807	14	14	-	-	-
CD207	50489	5	5	1	1	604862
CD209	30835	9	7	4	-	604672
CD22	933	4	4	-	-	107266
CD226	10666	59	59	-	-	605397
CD24	100133941	6	6	-	-	600074
CD244	51744	6	6	1	-	605554
CD247	919	15	15	6	7	186780
CD248	57124	2	2	-	-	606064
CD27	939	16	16	2	2	186711
CD27-AS1	678655	16	16	-	2	-
CD274	29126	85	85	-	-	605402
CD276	80381	12	12	1	-	605715
CD28	940	15	15	-	-	186760
CD2AP	23607	5	5	2	2	604241
CD2BP2	10421	6	6	-	-	604470
CD300A	11314	11	11	-	-	606790
CD300C	10871	11	11	-	-	606786
CD300E	342510	11	11	-	-	609801
CD300LB	124599	11	11	-	-	610705
CD300LD	100131439	11	11	-	-	616301
CD300LF	146722	5	5	-	-	609807
CD300LG	146894	10	10	-	-	610520
CD302	9936	4	4	-	-	612246
CD320	51293	15	15	11	1	606475
CD33	945	7	7	-	-	159590
CD34	947	5	5	-	-	142230
CD36	948	18	15	11	9	173510
CD37	951	2	2	-	-	151523
CD38	952	17	17	-	-	107270
CD3D	915	14	14	4	3	186790
CD3E	916	19	19	8	3	186830
CD3EAP	10849	3	3	-	-	107325
CD3G	917	12	12	3	3	186740
CD4	920	16	16	1	1	186940
CD40	958	7	7	4	4	109535
CD40LG	959	108	109	20	19	300386
CD44	960	19	19	13	-	107269
CD46	4179	11	11	6	-	120920
CD47	961	8	8	-	-	601028
CD48	962	4	4	-	-	109530
CD52	1043	1	1	-	-	114280
CD53	963	4	4	-	-	151525
CD55	1604	6	6	2	1	125240
CD58	965	4	4	-	-	153420
CD59	966	6	6	3	3	107271
CD5L	922	3	3	-	-	602592
